set	t_s	kind	node	sensor	note	ch	vel_emitted	dt_ms
ff	26.23017191886902	OFF	1	3	G#1(32)	3	107	14.9
ff	26.23017406463623	OFF	1	12	F2(41)	3	82	51.6
ff	26.23017692565918	ON	2	2	D4(62)	3	112	9.9
ff	26.230177879333496	ON	2	4	E4(64)	3	111	11.6
ff	26.23017978668213	OFF	1	7	C2(36)	3	109	13.3
ff	26.281519889831543	OFF	1	5	A#1(34)	3	109	13.3
ff	26.28153085708618	OFF	1	9	D2(38)	3	97	26.6
ff	26.281534910202026	OFF	1	8	C#2(37)	3	111	11.6
ff	26.281537771224976	OFF	2	2	D4(62)	3	104	18.3
ff	26.281540870666504	OFF	1	6	B1(35)	3	97	26.6
ff	26.281543970108032	OFF	2	3	D#4(63)	3	106	16.6
ff	26.281546115875244	OFF	2	4	E4(64)	3	80	58.3
ff	26.334447860717773	OFF	2	1	C#4(61)	3	103	19.9
ff	26.33445692062378	ON	1	8	C#2(37)	3	115	1.6
ff	26.334460020065308	ON	1	9	D2(38)	3	107	14.9
ff	26.38785171508789	ON	1	5	A#1(34)	3	115	1.6
ff	26.387861013412476	ON	1	6	B1(35)	3	106	16.6
ff	26.38786482810974	ON	1	7	C2(36)	3	115	1.6
ff	26.38786792755127	ON	1	4	A1(33)	3	115	3.3
ff	26.387936115264893	ON	1	12	F2(41)	3	115	4.9
ff	26.387938976287842	ON	1	11	E2(40)	3	115	1.6
ff	26.387940883636475	ON	1	2	G1(31)	3	112	9.9
ff	26.387943029403687	OFF	1	11	E2(40)	3	115	3.3
ff	26.43921399116516	OFF	1	12	F2(41)	3	82	53.3
